CHR_UID,CHR_NAME,CAS,FRACTION,DU,WBODY,WGROUP,ECOLI_SINGLE,SC_WQC,TEMP_WQC,LT,GT,HD_METAL,TOXIC,TURBAP,DWS,IRR,LW,WH,ACUTE,CHRONIC,HH,PERSISTENT,UNITS,ATTAINS CAUSE_GROUP_NAME,ATTAINS CAUSE_ID,ADB_CAUSE_NO,Comments (SCB)
333,"2,4-Dinitrotoluene",121-14-2,,CoolWAL,,,,,,,,N,Y,N,1.1,,,,,,17,,ug/l,TOXIC ORGANICS,38,39,
333,"2,4-Dinitrotoluene",121-14-2,,HQColdWAL,,,,,,,,N,Y,N,1.1,,,,,,17,,ug/l,TOXIC ORGANICS,38,39,
333,"2,4-Dinitrotoluene",121-14-2,,MCWAL,,,,,,,,N,Y,N,1.1,,,,,,17,,ug/l,TOXIC ORGANICS,38,39,
333,"2,4-Dinitrotoluene",121-14-2,,MWWAL,,,,,,,,N,Y,N,1.1,,,,,,17,,ug/l,TOXIC ORGANICS,38,39,
333,"2,4-Dinitrotoluene",121-14-2,,WWAL,,,,,,,,N,Y,N,1.1,,,,,,17,,ug/l,TOXIC ORGANICS,38,39,
358,2-Chloronaphthalene,91-58-7,,ColdWAL,,,,,,,,N,Y,N,2800,,,,,,1000,,ug/l,TOXIC ORGANICS,43,44,
358,2-Chloronaphthalene,91-58-7,,CoolWAL,,,,,,,,N,Y,N,2800,,,,,,1000,,ug/l,TOXIC ORGANICS,43,44,
358,2-Chloronaphthalene,91-58-7,,HQColdWAL,,,,,,,,N,Y,N,2800,,,,,,1000,,ug/l,TOXIC ORGANICS,43,44,
358,2-Chloronaphthalene,91-58-7,,MCWAL,,,,,,,,N,Y,N,2800,,,,,,1000,,ug/l,TOXIC ORGANICS,43,44,
358,2-Chloronaphthalene,91-58-7,,MWWAL,,,,,,,,N,Y,N,2800,,,,,,1000,,ug/l,TOXIC ORGANICS,43,44,
358,2-Chloronaphthalene,91-58-7,,WWAL,,,,,,,,N,Y,N,2800,,,,,,1000,,ug/l,TOXIC ORGANICS,43,44,
410,"3,3'-Dichlorobenzidine",91-94-1,,ColdWAL,,,,,,,,N,Y,N,0.78,,,,,,1.5,,ug/l,TOXIC ORGANICS,52,51,
410,"3,3'-Dichlorobenzidine",91-94-1,,CoolWAL,,,,,,,,N,Y,N,0.78,,,,,,1.5,,ug/l,TOXIC ORGANICS,52,51,
410,"3,3'-Dichlorobenzidine",91-94-1,,HQColdWAL,,,,,,,,N,Y,N,0.78,,,,,,1.5,,ug/l,TOXIC ORGANICS,52,51,
410,"3,3'-Dichlorobenzidine",91-94-1,,MCWAL,,,,,,,,N,Y,N,0.78,,,,,,1.5,,ug/l,TOXIC ORGANICS,52,51,
410,"3,3'-Dichlorobenzidine",91-94-1,,MWWAL,,,,,,,,N,Y,N,0.78,,,,,,1.5,,ug/l,TOXIC ORGANICS,52,51,
410,"3,3'-Dichlorobenzidine",91-94-1,,WWAL,,,,,,,,N,Y,N,0.78,,,,,,1.5,,ug/l,TOXIC ORGANICS,52,51,
454,"4,6-Dinitro-o-cresol",534-52-1,,ColdWAL,,,,,,,,N,Y,N,,,,,,,30,,ug/l,PESTICIDES,426,201,
454,"4,6-Dinitro-o-cresol",534-52-1,,CoolWAL,,,,,,,,N,Y,N,,,,,,,30,,ug/l,PESTICIDES,426,201,
454,"4,6-Dinitro-o-cresol",534-52-1,,HQColdWAL,,,,,,,,N,Y,N,,,,,,,30,,ug/l,PESTICIDES,426,201,
454,"4,6-Dinitro-o-cresol",534-52-1,,MCWAL,,,,,,,,N,Y,N,,,,,,,30,,ug/l,PESTICIDES,426,201,
454,"4,6-Dinitro-o-cresol",534-52-1,,MWWAL,,,,,,,,N,Y,N,,,,,,,30,,ug/l,PESTICIDES,426,201,
454,"4,6-Dinitro-o-cresol",534-52-1,,WWAL,,,,,,,,N,Y,N,,,,,,,30,,ug/l,PESTICIDES,426,201,
500,Acenaphthene,83-32-9,,ColdWAL,,,,,,,,N,Y,N,2100,,,,,,90,,ug/l,TOXIC ORGANICS,75,68,
500,Acenaphthene,83-32-9,,CoolWAL,,,,,,,,N,Y,N,2100,,,,,,90,,ug/l,TOXIC ORGANICS,75,68,
500,Acenaphthene,83-32-9,,HQColdWAL,,,,,,,,N,Y,N,2100,,,,,,90,,ug/l,TOXIC ORGANICS,75,68,
500,Acenaphthene,83-32-9,,LAL,,,,,,,,N,Y,N,2100,,,,,,,,ug/l,TOXIC ORGANICS,75,68,
500,Acenaphthene,83-32-9,,MCWAL,,,,,,,,N,Y,N,2100,,,,,,90,,ug/l,TOXIC ORGANICS,75,68,
500,Acenaphthene,83-32-9,,MWWAL,,,,,,,,N,Y,N,2100,,,,,,90,,ug/l,TOXIC ORGANICS,75,68,
500,Acenaphthene,83-32-9,,WWAL,,,,,,,,N,Y,N,2100,,,,,,90,,ug/l,TOXIC ORGANICS,75,68,
518,Acrolein,107-02-8,,ColdWAL,,,,,,,,N,Y,N,18,,,,3,3,400,,ug/l,PESTICIDES,86,74,
518,Acrolein,107-02-8,,CoolWAL,,,,,,,,N,Y,N,18,,,,3,3,400,,ug/l,PESTICIDES,86,74,
518,Acrolein,107-02-8,,HQColdWAL,,,,,,,,N,Y,N,18,,,,3,3,400,,ug/l,PESTICIDES,86,74,
518,Acrolein,107-02-8,,LAL,,,,,,,,N,Y,N,18,,,,3,,,,ug/l,PESTICIDES,86,74,Added LAL due to acute aquatic life criteria
518,Acrolein,107-02-8,,MCWAL,,,,,,,,N,Y,N,18,,,,3,3,400,,ug/l,PESTICIDES,86,74,
518,Acrolein,107-02-8,,MWWAL,,,,,,,,N,Y,N,18,,,,3,3,400,,ug/l,PESTICIDES,86,74,
518,Acrolein,107-02-8,,WWAL,,,,,,,,N,Y,N,18,,,,3,3,400,,ug/l,PESTICIDES,86,74,
520,Acrylonitrile,107-13-1,,ColdWAL,,,,,,,,N,Y,N,0.65,,,,,,70,,ug/l,PESTICIDES,88,76,
520,Acrylonitrile,107-13-1,,CoolWAL,,,,,,,,N,Y,N,0.65,,,,,,70,,ug/l,PESTICIDES,88,76,
520,Acrylonitrile,107-13-1,,HQColdWAL,,,,,,,,N,Y,N,0.65,,,,,,70,,ug/l,PESTICIDES,88,76,
520,Acrylonitrile,107-13-1,,MCWAL,,,,,,,,N,Y,N,0.65,,,,,,70,,ug/l,PESTICIDES,88,76,
520,Acrylonitrile,107-13-1,,MWWAL,,,,,,,,N,Y,N,0.65,,,,,,70,,ug/l,PESTICIDES,88,76,
520,Acrylonitrile,107-13-1,,WWAL,,,,,,,,N,Y,N,0.65,,,,,,70,,ug/l,PESTICIDES,88,76,
529,Aldrin,309-00-2,,ColdWAL,,,,,,,,N,Y,N,0.021,,,,3,,0.0000077,Y,ug/l,PESTICIDES,96,79,
529,Aldrin,309-00-2,,CoolWAL,,,,,,,,N,Y,N,0.021,,,,3,,0.0000077,Y,ug/l,PESTICIDES,96,79,
529,Aldrin,309-00-2,,HQColdWAL,,,,,,,,N,Y,N,0.021,,,,3,,0.0000077,Y,ug/l,PESTICIDES,96,79,
529,Aldrin,309-00-2,,LAL,,,,,,,,N,Y,N,0.021,,,,3,,0.0000077,Y,ug/l,PESTICIDES,96,79,
529,Aldrin,309-00-2,,MCWAL,,,,,,,,N,Y,N,0.021,,,,3,,0.0000077,Y,ug/l,PESTICIDES,96,79,
529,Aldrin,309-00-2,,MWWAL,,,,,,,,N,Y,N,0.021,,,,3,,0.0000077,Y,ug/l,PESTICIDES,96,79,
529,Aldrin,309-00-2,,WWAL,,,,,,,,N,Y,N,0.021,,,,3,,0.0000077,Y,ug/l,PESTICIDES,96,79,
568,Anthracene,120-12-7,,ColdWAL,,,,,,,,N,Y,N,10500,,,,,,400,,ug/l,TOXIC ORGANICS,129,94,Added criterion for DWS based on WQS table 
568,Anthracene,120-12-7,,CoolWAL,,,,,,,,N,Y,N,10500,,,,,,400,,ug/l,TOXIC ORGANICS,129,94,Added criterion for DWS based on WQS table 
568,Anthracene,120-12-7,,HQColdWAL,,,,,,,,N,Y,N,10500,,,,,,400,,ug/l,TOXIC ORGANICS,129,94,Added criterion for DWS based on WQS table 
568,Anthracene,120-12-7,,MCWAL,,,,,,,,N,Y,N,10500,,,,,,400,,ug/l,TOXIC ORGANICS,129,94,Added criterion for DWS based on WQS table 
568,Anthracene,120-12-7,,MWWAL,,,,,,,,N,Y,N,10500,,,,,,400,,ug/l,TOXIC ORGANICS,129,94,Added criterion for DWS based on WQS table 
568,Anthracene,120-12-7,,WWAL,,,,,,,,N,Y,N,10500,,,,,,400,,ug/l,TOXIC ORGANICS,129,94,Added criterion for DWS based on WQS table 
570,Antimony,7440-36-0,Dissolved,ColdWAL,,,,,,,,N,Y,N,0.006,,,,,,0.64,Y,mg/l,TOXIC INORGANICS,130,95,"Corrected conversion from ug to mg for drinking water, 6ug/L = 0.006mg/L. Added fraction = Dissolved"
570,Antimony,7440-36-0,Dissolved,CoolWAL,,,,,,,,N,Y,N,0.006,,,,,,0.64,Y,mg/l,TOXIC INORGANICS,130,95,"Corrected conversion from ug to mg for drinking water, 6ug/L = 0.006mg/L. Added fraction = Dissolved"
570,Antimony,7440-36-0,Dissolved,HQColdWAL,,,,,,,,N,Y,N,0.006,,,,,,0.64,Y,mg/l,TOXIC INORGANICS,130,95,"Corrected conversion from ug to mg for drinking water, 6ug/L = 0.006mg/L. Added fraction = Dissolved"
570,Antimony,7440-36-0,Dissolved,LAL,,,,,,,,N,Y,N,0.006,,,,,,0.64,Y,mg/l,TOXIC INORGANICS,130,95,"Corrected conversion from ug to mg for drinking water, 6ug/L = 0.006mg/L. Added fraction = Dissolved"
570,Antimony,7440-36-0,Dissolved,MCWAL,,,,,,,,N,Y,N,0.006,,,,,,0.64,Y,mg/l,TOXIC INORGANICS,130,95,"Corrected conversion from ug to mg for drinking water, 6ug/L = 0.006mg/L. Added fraction = Dissolved"
570,Antimony,7440-36-0,Dissolved,MWWAL,,,,,,,,N,Y,N,0.006,,,,,,0.64,Y,mg/l,TOXIC INORGANICS,130,95,"Corrected conversion from ug to mg for drinking water, 6ug/L = 0.006mg/L. Added fraction = Dissolved"
570,Antimony,7440-36-0,Dissolved,WWAL,,,,,,,,N,Y,N,0.006,,,,,,0.64,Y,mg/l,TOXIC INORGANICS,130,95,"Corrected conversion from ug to mg for drinking water, 6ug/L = 0.006mg/L. Added fraction = Dissolved"
