CHR_UID,CHR_NAME,WQS_NAME,SortOrder,ShortName,ShortNameOLD,Units,USE,ATTAINS_NAME,ATTAINs_GROUP_ID,ATTAINS_GROUP_NAME,ATTAINS_ID,ADB_NO,ADB_NAME,CAS,STORET,SHORT_CAUSE_NAME
813,Chrysene,Chrysene,76,Chrysene,Org_28,ug/l,,CHRYSENE,1080,TOXIC ORGANICS,309,157,Chrysene (C1-C4),218-01-9,130,
695,Boron,"Boron, dissolved",35,B_D,B_D,mg/l,,BORON,1079,TOXIC INORGANICS,230,123,Boron,7440-42-8,59,Boron
784,Chloroform,Chloroform,75,Chlorofor,Org_27,ug/l,,CHLOROFORM,1080,TOXIC ORGANICS,286,147,Chloroform,67-66-3,115,
781,Chlorodibromomethane,Chlorodibromomethane,74,Chlorodib,Org_26,ug/l,,CHLORODIBROMOMETHANE,1080,TOXIC ORGANICS,283,144,Chlorodibromomethane,124-48-1,164,
13,.beta.-Endosulfan,beta-Endosulfan,108,beta-Endo,PEST_3,ug/l,,BETA-ENDOSULFAN (ENDOSULFAN 2),885,PESTICIDES,192,4,.beta.-Endosulfan (Endosulfan 2),33213-65-9,9799,
14,.beta.-Hexachlorocyclohexane,beta-BHC,109,beta-BHC,PEST_4,ug/l,,BETA-BHC,885,PESTICIDES,191,3,.beta.-BHC,319-85-7,71,
657,Beryllium,"Beryllium, dissolved",24,Be_D,Be_D,mg/l,,BERYLLIUM,706,METALS (OTHER THAN MERCURY),189,117,Beryllium,7440-41-7,51,
779,Chlorobenzene,Chlorobenzene,73,Chloroben,Org_25,ug/l,,CHLOROBENZENE (MONO),1080,TOXIC ORGANICS,281,142,Chlorobenzene (mono),108-90-7,111,
741,Carbon tetrachloride,Carbon tetrachloride,72,Carbon_te,Org_24,ug/l,,CARBON TETRACHLORIDE,1080,TOXIC ORGANICS,245,132,Carbon tetrachloride,56-23-5,82,
714,Butyl benzyl phthalate,Butylbenzyl phthalate,71,Butylbenz,Org_23,ug/l,,BUTYL BENZYL PHTHALATE,1080,TOXIC ORGANICS,236,125,Butyl benzyl phthalate,85-68-7,383,
675,Bis(2-chloroisopropyl) ether,Bis(2-chloroisopropyl) ether,70,Bis(2-chl_iso,Org_22,ug/l,,"2,2'-DICHLORODIISOPROPYL ETHER",1080,TOXIC ORGANICS,26,27,"2,2'-Dichlorodiisopropyl ether",,228,
674,Bis(2-chloroethyl) ether,Bis(2-chloroethyl) ether,69,Bis(2-chl_eth,Org_21,ug/l,,"2,2'-DICHLORODIETHYL ETHER",1080,TOXIC ORGANICS,25,26,"2,2'-Dichlorodiethyl ether",111-44-4,229,
644,Benzo[k]fluoranthene,Benzo(k)fluoranthene,68,Benzo(k)f,Org_20,ug/l,,BENZO[K]FLUORANTHENE,1080,TOXIC ORGANICS,184,113,Benzo[k]fluoranthene,207-08-9,246,
611,Barium,"Barium, dissolved",38,Ba_D,Ba_D,mg/l,,BARIUM,946,RADIATION,161,104,Barium,7440-39-3,40,
591,Arsenic,"arsenic, dissolved",23,As_D,As_D,mg/l,,ARSENIC,706,METALS (OTHER THAN MERCURY),145,96,Arsenic,7440-38-2,29,Arsenic
570,Antimony,"antimony, dissolved",37,Sb_D,Sb_D,mg/l,,ANTIMONY,1079,TOXIC INORGANICS,130,95,Antimony,7440-36-0,26,
638,Benzo[a]pyrene,Benzoapyrene,67,Benzoapyr,Org_19,ug/l,,BENZO[A]PYRENE,1080,TOXIC ORGANICS,178,109,Benzo(a)pyrene (PAHs),50-32-8,48,
2414,"Nitrogen, ammonia as N","Ammonia, total",13,HN3_N,HN3_N,mg/l,,"AMMONIA, TOTAL",122,AMMONIA,124,308,Amonnia (Total),,,"Ammonia, Total"
549002,Aluminum,"aluminum, total recoverable",14,Al_TR_HD,Al_TR,mg/l,,"ALUMINUM, TOTAL RECOVERABLE",706,METALS (OTHER THAN MERCURY),1282,87,Aluminum,7429-90-5,21,Aluminum
549001,Aluminum,"aluminum, dissolved",15,Al_D,Al_D,mg/l,,"ALUMINUM, DISSOLVED",706,METALS (OTHER THAN MERCURY),1281,87,Aluminum,7429-90-5,21,Aluminum
7,.alpha.-Endosulfan,alpha-Endosulfan,106,alpha-End,PEST_1,ug/l,,ALPHA-ENDOSULFAN (ENDOSULFAN 1),885,PESTICIDES,109,2,.alpha.-Endosulfan(Endosulfan 1),959-98-8,9798,
8,.alpha.-Hexachlorocyclohexane,alpha-BHC,107,alpha-BHC,PEST_2,ug/l,,ALPHA-BHC,885,PESTICIDES,107,1,.alpha.-BHC,319-84-6,70,ALPHA-BHC
529,Aldrin,Aldrin,117,Aldrin,PEST_12,ug/l,,ALDRIN,885,PESTICIDES,96,79,Aldrin,309-00-2,13,
2337,"Gross alpha radioactivity, (Americium-241 ref std)",Adjusted gross alpha,42,GA_Adj,GA_Adj,pCi/L,,GROSS ALPHA,946,RADIATION,575,470,Gross Alpha - Adjusted,,17123,Gross Alpha
520,Acrylonitrile,Acrylonitrile,116,Acrylonit,PEST_11,ug/l,,ACRYLONITRILE,885,PESTICIDES,88,76,Acrylonitrile,107-13-1,8,
518,Acrolein,Acrolein,115,Acrolein,PEST_10,ug/l,,ACROLEIN,885,PESTICIDES,86,74,Acrolein,107-02-8,7,
636,Benzo(b)fluoranthene,Benzo(b)fluoranthene,66,Benzo(b)f,Org_18,ug/l,,BENZO[B]FLUORANTHENE,1080,TOXIC ORGANICS,181,111,Benzo[b]fluoranthene,205-99-2,247,
635,Benzidine,Benzidine,65,Benzidine,Org_17,ug/l,,BENZIDINE,1080,TOXIC ORGANICS,173,108,Benzidine,92-87-5,47,
454,"4,6-Dinitro-o-cresol","2-Methyl-4,6-dinitrophenol",114,2-Methyl-,PEST_9,ug/l,,DINITRO-O-CRESOL,885,PESTICIDES,426,201,Dinitro-o-cresol,534-52-1,143,
