"WATER_ID","WATER_NAME","PROJECT_NAME","STATION","STATION_NAME","SAMPLING_EVENT_TYPE","DATE","TIME","ACTIVITY_TYPE","SAMPLE_TYPE","FLT_10UG","SAMPLE_FRACTION","CHR_UID","CHARACTERISTIC_NAME","MEASUREMENT","MEASUREMENT_num","UNITS","LESS_THAN_YN","ASSESSABILITY_QUALIFIER_CODE","ACT_START_DATE","ACT_END_DATE"
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","657","Beryllium","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","695","Boron","0.05",0.05,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","725","Cadmium","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","809","Chromium","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","827","Cobalt","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","832","Copper","0.01",0.01,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Field Msr/Obs","Surface Water","Y",,"985","Dissolved oxygen (DO)","9.61",9.61,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Field Msr/Obs","Surface Water","Y",,"986","Dissolved oxygen saturation","98.8",98.8,"Pct","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","988","Total dissolved solids","162",162,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-06-22,"12:49","Sample-Routine","Surface Water","N","Dissolved","1215","Lead","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-06-22,"12:49","Sample-Routine","Surface Water","N","Dissolved","1249","Manganese","4.2000000000000003E-2",0.042,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-06-22,"12:49","Sample-Routine","Surface Water","N","Dissolved","1266001","Mercury","2.0000000000000001E-4",0.0002,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-06-22,"12:49","Sample-Routine","Surface Water","N","Total","1266002","Mercury","2.0000000000000001E-4",0.0002,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-06-22,"12:49","Sample-Routine","Surface Water","N","Dissolved","1354001","Molybdenum","2E-3",0.002,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-06-22,"12:49","Sample-Routine","Surface Water","N","Dissolved","1395","Nickel","0.01",0.01,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-06-22,"12:49","Sample-Routine","Surface Water","N","Total","1416","Total Kjeldahl nitrogen (Organic N & NH3)","0.28000000000000003",0.28,"mgL","N",,,
