"CHR_UID","CHR_NAME","FRACTION","DU","Waterbody","PERSISTENT","HD_METAL","TOXIC","TURBAP","UNITS","Criteria_Type","Magnitude_Numeric"
"518","Acrolein",,"HQColdWAL",,,"N","Y","N","ugL","CHRONIC",3
"518","Acrolein",,"HQColdWAL",,,"N","Y","N","ugL","HH",400
"518","Acrolein",,"LAL",,,"N","Y","N","ugL","ACUTE",3
"518","Acrolein",,"MCWAL",,,"N","Y","N","ugL","ACUTE",3
"518","Acrolein",,"MCWAL",,,"N","Y","N","ugL","CHRONIC",3
"518","Acrolein",,"MCWAL",,,"N","Y","N","ugL","HH",400
"518","Acrolein",,"MWWAL",,,"N","Y","N","ugL","ACUTE",3
"518","Acrolein",,"MWWAL",,,"N","Y","N","ugL","CHRONIC",3
"518","Acrolein",,"MWWAL",,,"N","Y","N","ugL","HH",400
"518","Acrolein",,"WWAL",,,"N","Y","N","ugL","ACUTE",3
"518","Acrolein",,"WWAL",,,"N","Y","N","ugL","CHRONIC",3
"518","Acrolein",,"WWAL",,,"N","Y","N","ugL","HH",400
"520","Acrylonitrile",,"ColdWAL",,,"N","Y","N","ugL","HH",70
"520","Acrylonitrile",,"CoolWAL",,,"N","Y","N","ugL","HH",70
"520","Acrylonitrile",,"HQColdWAL",,,"N","Y","N","ugL","HH",70
"520","Acrylonitrile",,"MCWAL",,,"N","Y","N","ugL","HH",70
"520","Acrylonitrile",,"MWWAL",,,"N","Y","N","ugL","HH",70
"520","Acrylonitrile",,"WWAL",,,"N","Y","N","ugL","HH",70
"529","Aldrin",,"ColdWAL",,"Y","N","Y","N","ugL","ACUTE",3
"529","Aldrin",,"ColdWAL",,"Y","N","Y","N","ugL","HH",0.0000077
"529","Aldrin",,"CoolWAL",,"Y","N","Y","N","ugL","ACUTE",3
"529","Aldrin",,"CoolWAL",,"Y","N","Y","N","ugL","HH",0.0000077
"529","Aldrin",,"HQColdWAL",,"Y","N","Y","N","ugL","ACUTE",3
"529","Aldrin",,"HQColdWAL",,"Y","N","Y","N","ugL","HH",0.0000077
"529","Aldrin",,"LAL",,"Y","N","Y","N","ugL","ACUTE",3
"529","Aldrin",,"LAL",,"Y","N","Y","N","ugL","HH",0.0000077
"529","Aldrin",,"MCWAL",,"Y","N","Y","N","ugL","ACUTE",3
"529","Aldrin",,"MCWAL",,"Y","N","Y","N","ugL","HH",0.0000077
"529","Aldrin",,"MWWAL",,"Y","N","Y","N","ugL","ACUTE",3
"529","Aldrin",,"MWWAL",,"Y","N","Y","N","ugL","HH",0.0000077
"529","Aldrin",,"WWAL",,"Y","N","Y","N","ugL","ACUTE",3
"529","Aldrin",,"WWAL",,"Y","N","Y","N","ugL","HH",0.0000077
"568","Anthracene",,"ColdWAL",,,"N","Y","N","ugL","HH",400
"568","Anthracene",,"CoolWAL",,,"N","Y","N","ugL","HH",400
"568","Anthracene",,"HQColdWAL",,,"N","Y","N","ugL","HH",400
"568","Anthracene",,"MCWAL",,,"N","Y","N","ugL","HH",400
"568","Anthracene",,"MWWAL",,,"N","Y","N","ugL","HH",400
"568","Anthracene",,"WWAL",,,"N","Y","N","ugL","HH",400
"570","Antimony","Dissolved","ColdWAL",,"Y","N","Y","N","mgL","HH",0.64
"570","Antimony","Dissolved","CoolWAL",,"Y","N","Y","N","mgL","HH",0.64
"570","Antimony","Dissolved","HQColdWAL",,"Y","N","Y","N","mgL","HH",0.64
"570","Antimony","Dissolved","LAL",,"Y","N","Y","N","mgL","HH",0.64
"570","Antimony","Dissolved","MCWAL",,"Y","N","Y","N","mgL","HH",0.64
"570","Antimony","Dissolved","MWWAL",,"Y","N","Y","N","mgL","HH",0.64
"570","Antimony","Dissolved","WWAL",,"Y","N","Y","N","mgL","HH",0.64
"591","Arsenic","Dissolved","ColdWAL",,"Y","N","Y","N","mgL","ACUTE",0.34
"591","Arsenic","Dissolved","ColdWAL",,"Y","N","Y","N","mgL","CHRONIC",0.15
"591","Arsenic","Dissolved","ColdWAL",,"Y","N","Y","N","mgL","HH",0.009
"591","Arsenic","Dissolved","CoolWAL",,"Y","N","Y","N","mgL","ACUTE",0.34
"591","Arsenic","Dissolved","CoolWAL",,"Y","N","Y","N","mgL","CHRONIC",0.15
"591","Arsenic","Dissolved","CoolWAL",,"Y","N","Y","N","mgL","HH",0.009
"591","Arsenic","Dissolved","HQColdWAL",,"Y","N","Y","N","mgL","ACUTE",0.34
"591","Arsenic","Dissolved","HQColdWAL",,"Y","N","Y","N","mgL","CHRONIC",0.15
"591","Arsenic","Dissolved","HQColdWAL",,"Y","N","Y","N","mgL","HH",0.009
"591","Arsenic","Dissolved","LAL",,"Y","N","Y","N","mgL","ACUTE",0.34
"591","Arsenic","Dissolved","LAL",,"Y","N","Y","N","mgL","HH",0.009
"591","Arsenic","Dissolved","MCWAL",,"Y","N","Y","N","mgL","ACUTE",0.34
"591","Arsenic","Dissolved","MCWAL",,"Y","N","Y","N","mgL","CHRONIC",0.15
"591","Arsenic","Dissolved","MCWAL",,"Y","N","Y","N","mgL","HH",0.009
"591","Arsenic","Dissolved","MWWAL",,"Y","N","Y","N","mgL","ACUTE",0.34
"591","Arsenic","Dissolved","MWWAL",,"Y","N","Y","N","mgL","CHRONIC",0.15
"591","Arsenic","Dissolved","MWWAL",,"Y","N","Y","N","mgL","HH",0.009
"591","Arsenic","Dissolved","WWAL",,"Y","N","Y","N","mgL","ACUTE",0.34
"591","Arsenic","Dissolved","WWAL",,"Y","N","Y","N","mgL","CHRONIC",0.15
"591","Arsenic","Dissolved","WWAL",,"Y","N","Y","N","mgL","HH",0.009
"621","Benz[a]anthracene",,"ColdWAL",,,"N","Y","N","ugL","HH",0.013
"621","Benz[a]anthracene",,"CoolWAL",,,"N","Y","N","ugL","HH",0.013
"621","Benz[a]anthracene",,"HQColdWAL",,,"N","Y","N","ugL","HH",0.013
"621","Benz[a]anthracene",,"MCWAL",,,"N","Y","N","ugL","HH",0.013
"621","Benz[a]anthracene",,"MWWAL",,,"N","Y","N","ugL","HH",0.013
"621","Benz[a]anthracene",,"WWAL",,,"N","Y","N","ugL","HH",0.013
"624","Benzene",,"ColdWAL",,,"N","Y","N","ugL","HH",160
"624","Benzene",,"CoolWAL",,,"N","Y","N","ugL","HH",160
"624","Benzene",,"HQColdWAL",,,"N","Y","N","ugL","HH",160
"624","Benzene",,"MCWAL",,,"N","Y","N","ugL","HH",160
"624","Benzene",,"MWWAL",,,"N","Y","N","ugL","HH",160
"624","Benzene",,"WWAL",,,"N","Y","N","ugL","HH",160
"635","Benzidine",,"ColdWAL",,,"N","Y","N","ugL","HH",0.11
"635","Benzidine",,"CoolWAL",,,"N","Y","N","ugL","HH",0.11
"635","Benzidine",,"HQColdWAL",,,"N","Y","N","ugL","HH",0.11
"635","Benzidine",,"MCWAL",,,"N","Y","N","ugL","HH",0.11
"635","Benzidine",,"MWWAL",,,"N","Y","N","ugL","HH",0.11
"635","Benzidine",,"WWAL",,,"N","Y","N","ugL","HH",0.11
"636","Benzo(b)fluoranthene",,"ColdWAL",,,"N","Y","N","ugL","HH",0.013
"636","Benzo(b)fluoranthene",,"CoolWAL",,,"N","Y","N","ugL","HH",0.013
"636","Benzo(b)fluoranthene",,"HQColdWAL",,,"N","Y","N","ugL","HH",0.013
"636","Benzo(b)fluoranthene",,"MCWAL",,,"N","Y","N","ugL","HH",0.013
"636","Benzo(b)fluoranthene",,"MWWAL",,,"N","Y","N","ugL","HH",0.013
"636","Benzo(b)fluoranthene",,"WWAL",,,"N","Y","N","ugL","HH",0.013
"638","Benzo[a]pyrene",,"ColdWAL",,"Y","N","Y","N","ugL","HH",0.0013
"638","Benzo[a]pyrene",,"CoolWAL",,"Y","N","Y","N","ugL","HH",0.0013
"638","Benzo[a]pyrene",,"HQColdWAL",,"Y","N","Y","N","ugL","HH",0.0013
"638","Benzo[a]pyrene",,"LAL",,"Y","N","Y","N","ugL","HH",0.0013
"638","Benzo[a]pyrene",,"MCWAL",,"Y","N","Y","N","ugL","HH",0.0013
"638","Benzo[a]pyrene",,"MWWAL",,"Y","N","Y","N","ugL","HH",0.0013
"638","Benzo[a]pyrene",,"WWAL",,"Y","N","Y","N","ugL","HH",0.0013
"644","Benzo[k]fluoranthene",,"ColdWAL",,,"N","Y","N","ugL","HH",0.13
"644","Benzo[k]fluoranthene",,"CoolWAL",,,"N","Y","N","ugL","HH",0.13
"644","Benzo[k]fluoranthene",,"HQColdWAL",,,"N","Y","N","ugL","HH",0.13
"644","Benzo[k]fluoranthene",,"MCWAL",,,"N","Y","N","ugL","HH",0.13
"644","Benzo[k]fluoranthene",,"MWWAL",,,"N","Y","N","ugL","HH",0.13
"644","Benzo[k]fluoranthene",,"WWAL",,,"N","Y","N","ugL","HH",0.13
"674","Bis(2-chloroethyl) ether",,"ColdWAL",,,"N","Y","N","ugL","HH",22
"674","Bis(2-chloroethyl) ether",,"CoolWAL",,,"N","Y","N","ugL","HH",22
"674","Bis(2-chloroethyl) ether",,"HQColdWAL",,,"N","Y","N","ugL","HH",22
"674","Bis(2-chloroethyl) ether",,"MCWAL",,,"N","Y","N","ugL","HH",22
"674","Bis(2-chloroethyl) ether",,"MWWAL",,,"N","Y","N","ugL","HH",22
"674","Bis(2-chloroethyl) ether",,"WWAL",,,"N","Y","N","ugL","HH",22
"675","Bis(2-chloroisopropyl) ether",,"ColdWAL",,,"N","Y","N","ugL","HH",4000
"675","Bis(2-chloroisopropyl) ether",,"CoolWAL",,,"N","Y","N","ugL","HH",4000
"675","Bis(2-chloroisopropyl) ether",,"HQColdWAL",,,"N","Y","N","ugL","HH",4000
"675","Bis(2-chloroisopropyl) ether",,"MCWAL",,,"N","Y","N","ugL","HH",4000
"675","Bis(2-chloroisopropyl) ether",,"MWWAL",,,"N","Y","N","ugL","HH",4000
"675","Bis(2-chloroisopropyl) ether",,"WWAL",,,"N","Y","N","ugL","HH",4000
"714","Butyl benzyl phthalate",,"ColdWAL",,,"N","Y","N","ugL","HH",1
"714","Butyl benzyl phthalate",,"CoolWAL",,,"N","Y","N","ugL","HH",1
"714","Butyl benzyl phthalate",,"HQColdWAL",,,"N","Y","N","ugL","HH",1
"714","Butyl benzyl phthalate",,"MCWAL",,,"N","Y","N","ugL","HH",1
"714","Butyl benzyl phthalate",,"MWWAL",,,"N","Y","N","ugL","HH",1
"714","Butyl benzyl phthalate",,"WWAL",,,"N","Y","N","ugL","HH",1
"734","Carbaryl",,"ColdWAL",,,"N","Y","N","ugL","ACUTE",2.1
"734","Carbaryl",,"ColdWAL",,,"N","Y","N","ugL","CHRONIC",2.1
"734","Carbaryl",,"CoolWAL",,,"N","Y","N","ugL","ACUTE",2.1
"734","Carbaryl",,"CoolWAL",,,"N","Y","N","ugL","CHRONIC",2.1
"734","Carbaryl",,"HQColdWAL",,,"N","Y","N","ugL","ACUTE",2.1
"734","Carbaryl",,"HQColdWAL",,,"N","Y","N","ugL","CHRONIC",2.1
"734","Carbaryl",,"LAL",,,"N","Y","N","ugL","ACUTE",2.1
"734","Carbaryl",,"MCWAL",,,"N","Y","N","ugL","ACUTE",2.1
"734","Carbaryl",,"MCWAL",,,"N","Y","N","ugL","CHRONIC",2.1
"734","Carbaryl",,"MWWAL",,,"N","Y","N","ugL","ACUTE",2.1
"734","Carbaryl",,"MWWAL",,,"N","Y","N","ugL","CHRONIC",2.1
